rnn_layers,rnn_neurons,dnn_layers,dnn_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
2,100,5,100,48,3.704,0.012509417720139,0.0378107316792011,0.26100754737854004,97.47,35.709999999999994,27.029999999999998,30.769999999999996
2,100,5,100,54,3.892,0.0079273898154497,0.0239830669015645,0.44582828879356384,97.81,43.75,18.92,26.419999999999998
2,100,5,100,39,3.26,0.011589309200644493,0.03750690072774887,0.21105648577213287,96.17999999999999,19.61,27.029999999999998,22.73
2,100,5,100,45,3.529,0.0021385475993156433,0.010562368668615818,0.26366138458251953,97.31,32.26,27.029999999999998,29.409999999999997
2,100,5,100,29,2.834,0.009845990687608719,0.01205085776746273,0.299222856760025,97.53,39.39,35.14,37.14
2,100,5,100,42,3.452,0.007310729939490557,0.031087035313248634,0.31406962871551514,97.47,31.819999999999997,18.92,23.73
2,100,5,100,20,2.436,0.01040953304618597,0.03198332339525223,0.3193620443344116,97.08,27.27,24.32,25.71
2,100,5,100,37,3.16,0.0010201162658631802,0.018439924344420433,0.3538423776626587,97.64,36.84,18.92,25.0
2,100,5,100,13,2.063,0.028285356238484383,0.041698306798934937,0.20488855242729187,97.08,34.04,43.24,38.1
2,100,5,100,31,2.915,0.00355155230499804,0.02007075399160385,0.2347617745399475,97.64,36.84,18.92,25.0
