rnn_layers,rnn_neurons,dnn_layers,dnn_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
2,100,5,100,15,2.4,0.010488398373126984,0.17492859065532684,0.17492859065532684,97.25,34.21,35.14,34.67
2,100,5,100,10,2.1,0.02054978534579277,0.17972810566425323,0.17972810566425323,96.17999999999999,21.82,32.43,26.090000000000003
2,100,5,100,17,2.434,0.004825266543775797,0.19220246374607086,0.19220246374607086,96.41,22.45,29.73,25.580000000000002
2,100,5,100,54,4.173,0.013574021868407726,0.14465127885341644,0.14465127885341644,97.36,29.17,18.92,22.95
2,100,5,100,45,3.772,0.0012809409527108073,0.15369245409965515,0.15369245409965515,97.47,39.47,40.54,40.0
2,100,5,100,3,1.723,0.05440983548760414,0.2275364100933075,0.2275364100933075,94.73,13.919999999999998,29.73,18.970000000000002
2,100,5,100,16,2.394,0.012710727751255035,0.1990336924791336,0.1990336924791336,96.91,25.0,24.32,24.66
2,100,5,100,18,2.485,0.016621917486190796,0.18508680164813995,0.18508680164813995,96.35000000000001,20.830000000000002,27.029999999999998,23.53
2,100,5,100,31,3.096,0.0037527773529291153,0.13989341259002686,0.13989341259002686,96.75,27.66,35.14,30.95
2,100,5,100,10,2.12,0.031304508447647095,0.1841968595981598,0.1841968595981598,96.41,20.0,24.32,21.95
2,100,5,100,6,1.905,0.034416258335113525,0.21260040998458862,0.21260040998458862,96.02000000000001,17.31,24.32,20.22
2,100,5,100,41,3.6,0.02820497378706932,0.19090108573436737,0.19090108573436737,97.53,31.580000000000002,16.220000000000002,21.43
2,100,5,100,10,2.117,0.015966635197401047,0.2272125780582428,0.2272125780582428,95.74000000000001,4.65,5.41,5.0
2,100,5,100,2,1.717,0.088165782392025,0.15688547492027283,0.15688547492027283,95.39999999999999,18.310000000000002,35.14,24.07
2,100,5,100,9,2.028,0.02135103940963745,0.1965530812740326,0.1965530812740326,94.89,9.09,16.220000000000002,11.65
2,100,5,100,41,3.638,0.017185797914862633,0.14866821467876434,0.14866821467876434,97.42,34.48,27.029999999999998,30.3
2,100,5,100,18,2.506,0.0031576850451529026,0.18592149019241333,0.18592149019241333,97.19,30.3,27.029999999999998,28.57
2,100,5,100,7,1.959,0.03662211075425148,0.18054407835006714,0.18054407835006714,97.14,36.0,48.65,41.38
2,100,5,100,15,2.382,0.008745980449020863,0.14660044014453888,0.14660044014453888,97.81,47.22,45.95,46.58
2,100,5,100,14,2.325,0.012667462229728699,0.16971798241138458,0.16971798241138458,94.73,16.470000000000002,37.84,22.95
