n_layers,n_neurons,epoch,time,loss,val_loss,test_loss,accuracy,precision,recall,f1
5,100,5,0.973,0.6401374936103821,0.5391706824302673,0.5391706824302673,75.92999999999999,4.42,51.349999999999994,8.14
5,100,48,1.968,0.5772916078567505,0.5200745463371277,0.5200745463371277,73.46000000000001,3.2199999999999998,40.54,5.96
5,100,7,0.951,0.6065657138824463,0.5421085953712463,0.5421085953712463,73.68,3.65,45.95,6.76
5,100,34,1.572,0.5768024921417236,0.515678882598877,0.515678882598877,74.58,3.5700000000000003,43.24,6.6000000000000005
5,100,32,1.603,0.5871880650520325,0.5411523580551147,0.5411523580551147,73.57000000000001,3.63,45.95,6.7299999999999995
5,100,121,3.786,0.570339560508728,0.5020104050636292,0.5020104050636292,75.03,3.64,43.24,6.710000000000001
5,100,64,2.447,0.5789252519607544,0.5229947566986084,0.5229947566986084,74.69,4.61,56.76,8.52
5,100,17,1.213,0.5751492977142334,0.4833182096481323,0.4833182096481323,77.44,2.8400000000000003,29.73,5.19
5,100,46,1.926,0.5855873227119446,0.5111819505691528,0.5111819505691528,74.58,3.9800000000000004,48.65,7.359999999999999
5,100,50,2.016,0.5774721503257751,0.522465705871582,0.522465705871582,73.22999999999999,3.9699999999999998,51.349999999999994,7.380000000000001
5,100,14,1.141,0.5860319137573242,0.5450564026832581,0.5450564026832581,73.29,3.5900000000000003,45.95,6.67
5,100,13,1.151,0.5953765511512756,0.5218459963798523,0.5218459963798523,75.81,4.19,48.65,7.71
5,100,11,1.052,0.6045275926589966,0.5036235451698303,0.5036235451698303,76.21,3.82,43.24,7.02
5,100,28,1.481,0.5769798755645752,0.4815042018890381,0.4815042018890381,78.34,3.9600000000000004,40.54,7.21
5,100,36,1.671,0.5618496537208557,0.5307832956314087,0.5307832956314087,73.4,3.4099999999999997,43.24,6.32
5,100,14,1.175,0.5839279294013977,0.5390741229057312,0.5390741229057312,73.06,3.7600000000000002,48.65,6.98
5,100,20,1.301,0.5778259634971619,0.4916871190071106,0.4916871190071106,77.38000000000001,4.25,45.95,7.779999999999999
5,100,25,1.448,0.5925254225730896,0.5200198888778687,0.5200198888778687,74.92,4.24,51.349999999999994,7.84
5,100,60,2.278,0.578382134437561,0.5168740153312683,0.5168740153312683,74.24,4.33,54.05,8.02
5,100,9,1.067,0.6066542863845825,0.5542799234390259,0.5542799234390259,72.67,4.64,62.160000000000004,8.63
