,ElasticNet,ANOVA,RandomForest,Score
ASA,1.0,0.0,1.0,2.0
Phi,0.0,0.0,1.0,1.0
Psi,0.0,0.0,1.0,1.0
Theta(i-1=>i+1),1.0,0.0,1.0,2.0
Tau(i-2=>i+2),1.0,1.0,1.0,3.0
HSE_alpha_up,0.0,0.0,1.0,1.0
HSE_alpha_down,1.0,1.0,1.0,3.0
P(C),0.0,0.0,1.0,1.0
P(H),1.0,0.0,1.0,2.0
P(E),1.0,0.0,1.0,2.0
flexibility,0.0,0.0,1.0,1.0
nAli,1.0,1.0,1.0,3.0
nPos,0.0,0.0,0.0,0.0
nS/nT,1.0,1.0,1.0,3.0
Proline,1.0,0.0,0.0,1.0
residue_SER_THR,0.0,1.0,1.0,2.0
number_of_hydrophobic,0.0,1.0,1.0,2.0
number_of_hydrophilic,0.0,1.0,1.0,2.0
number_of_polar,1.0,1.0,0.0,2.0
number_of_aromatic,0.0,1.0,1.0,2.0
number_of_aliphatic,0.0,1.0,0.0,1.0
number_of_charged,0.0,1.0,0.0,1.0
number_of_positive,0.0,1.0,0.0,1.0
number_of_negative,0.0,1.0,0.0,1.0
number_of_g,1.0,1.0,1.0,3.0
number_of_v,1.0,1.0,1.0,3.0
number_of_s,0.0,1.0,1.0,2.0
number_of_n,1.0,1.0,0.0,2.0
number_of_l,1.0,1.0,0.0,2.0
number_of_p,0.0,1.0,1.0,2.0
number_of_A,0.0,1.0,0.0,1.0
number_of_b,0.0,1.0,0.0,1.0
number_of_d,0.0,1.0,0.0,1.0
number_of_e,1.0,1.0,0.0,2.0
number_of_f,0.0,1.0,1.0,2.0
number_of_ala,0.0,1.0,0.0,1.0
number_of_cys,0.0,1.0,0.0,1.0
number_of_asp,0.0,1.0,0.0,1.0
number_of_glu,0.0,1.0,0.0,1.0
number_of_phe,0.0,1.0,0.0,1.0
number_of_his,0.0,1.0,0.0,1.0
number_of_ile,0.0,1.0,0.0,1.0
number_of_lys,1.0,1.0,0.0,2.0
number_of_leu,1.0,1.0,0.0,2.0
number_of_met,0.0,0.0,0.0,0.0
number_of_asn,1.0,0.0,0.0,1.0
number_of_gln,0.0,1.0,0.0,1.0
number_of_arg,1.0,1.0,1.0,3.0
number_of_ser,1.0,1.0,1.0,3.0
number_of_thr,1.0,1.0,1.0,3.0
number_of_val,0.0,1.0,0.0,1.0
number_of_trp,0.0,0.0,0.0,0.0
number_of_tyr,0.0,0.0,1.0,1.0
